0,TCR,Hnorm,Height_diff
1380,0.02701287002921459,155.0,1.206734
1381,0.06750476263522152,184.0,3.017889
1382,0.03261881195160574,175.0,1.457318
1383,0.061530677075737755,181.205259,2.199897
1384,0.060792552480478185,177.0,2.173483
1389,0.018505566658225225,168.384752,0.82656
1390,0.041458535791171744,163.297436,1.481817
1803,0.06409613004768148,154.534217,2.291707
1804,0.04384670011632206,155.983111,1.959359
1805,0.014167968750451324,158.350766,0.632768
1806,0.06375805813100303,160.048007,2.279608
1807,0.03055987454264482,157.211919,1.365278
1808,0.1418566197907393,164.873829,5.077873
1809,0.1354454923891774,159.0,4.847916
1810,0.12772964308101858,161.0,5.716758
1811,0.01699434695276207,157.0,0.607193
1812,0.018316437090648247,145.0,0.654443
1813,0.005021926190957,140.858637,0.179397
1814,0.012247998901778185,140.0,0.546999
1815,0.05564000961292243,154.403215,1.989114
1816,0.06630674392689154,159.990965,2.370824
1818,0.06285834482939404,134.228616,2.809921
1820,0.02956463127141356,153.0,1.056516
1821,0.05318939299309223,169.0,2.853286
1822,0.0421338683687671,161.485387,1.50597
1823,0.04275958342175653,159.025526,1.146079
1824,0.13640736421692312,169.956874,4.882414
1825,0.1507434934980985,162.0,6.749694
1826,0.03454394539771702,157.384361,1.543383
1827,0.008076810988058588,156.537385,0.288539
1828,0.03604233735860366,157.08234,1.932709
1829,0.01660549174170087,147.0,0.741666
1831,0.01626979148348189,151.0,0.581299
1832,0.06648335315028388,166.160158,2.377145
1833,0.05208931083290516,155.0,2.328051
1834,0.0006193658553724581,152.113131,0.022124
1835,0.014789740253149835,183.0,0.528407
1840,0.12683106428880356,170.0,5.676445
1841,0.004078942877048448,164.0,0.145709
1842,0.0013670465047624445,139.834726,0.048832
1843,0.03171154615742173,145.0,1.133274
1844,0.07720757762058544,144.818567,2.761037
1845,0.04912635192100591,156.415576,1.756082
1846,0.009258502316007866,151.213198,0.33076
1857,0.1623041111863591,174.646671,5.811588
1874,0.05535682858730136,169.0,1.978982
1875,0.14173027192777213,176.384483,6.345045
1876,0.6150911765369769,155.842701,11.036301
1884,0.06279411947760455,130.191445,2.245111
1885,0.045905839662668466,145.0,1.640882
1886,0.05005618388828304,133.0,2.68502
1887,0.09032957751048125,130.0,3.230929
1888,0.08901948562335533,130.046922,3.184007
2922,0.04974749432705487,140.536572,2.22329
2923,0.012233179260241608,143.377798,0.546337
2932,0.06736937478662484,139.841657,2.408857
2933,0.035146319473148765,131.0,1.570314
2934,0.018451441247900033,134.0,0.659268
2935,0.00025039046431261247,156.381999,0.008944
2936,0.013257528548997604,139.460086,0.592096
2937,0.0341698075665337,141.928039,1.832221
2938,0.135629580457534,157.0,6.071232
2939,0.10840815999203358,141.888662,3.878616
2948,0.012032560870618129,128.0,0.429881
2951,0.017497838594876743,129.0,0.625187
3200,0.03456650233137981,133.926231,1.235354
3201,0.06158248546719277,125.0,2.201751
3202,0.08320727792004884,150.175185,3.720982
3204,0.182269106040145,136.780777,1.628772
3205,0.05036513231758853,127.0,1.800397
3206,0.09225977549770838,132.51836,1.648896
3207,0.04792355484905639,128.0,0.856222
3208,0.0401921351828278,129.0,1.436526
3209,0.07182999983353426,133.005048,2.568522
3211,0.009999889465868302,127.0,0.35725
4502,0.028802292930784863,217.68606,1.286715
4503,0.11838223205052298,209.996558,5.297471
4504,0.043453880501506996,213.012888,2.330527
4505,0.01119849285816833,206.986006,0.500118
4506,0.040951265480839674,193.517909,1.463675
4507,0.12152050287435935,220.810024,4.348601
4508,0.026563867924562674,233.982847,1.186666
4510,0.21414001185798726,243.542165,3.830663
4511,0.11984059959794467,224.0,4.288378
4513,0.059159610955259186,227.571092,2.644396
4514,0.03391478319785134,199.943597,1.515255
4515,0.16957850559616083,210.139407,6.072723
4516,0.1206615956938923,231.709394,6.482572
4517,0.22441601806169204,230.0,8.043112
4518,0.10171632292331362,229.995123,3.638832
4519,0.05324718932178366,216.825791,2.379852
4520,0.10158020280361824,230.0,3.633955
4524,0.0734060157761798,231.169098,3.282074
4525,0.33999846115787125,220.271173,12.206856
4526,0.013856657701890795,224.550932,0.495063
4527,0.2771635195317603,264.243461,9.941482
4529,0.19563233524418627,408.845456,7.008468
4532,0.5323941911247732,245.137416,14.348653
4535,0.16129567263661568,262.899072,7.223609
4537,0.05000388783241559,211.0,1.787474
4538,0.08361568633820946,206.0,2.990485
4539,0.11254241221229812,199.091253,5.035595
4540,0.03592073156002664,210.474978,1.283778
4541,0.16697351988702103,216.669179,7.478688
4542,0.23358957783518636,198.376798,8.373049
4543,0.29258817137922927,217.87143,10.497184
4545,0.0794806127429474,218.332431,2.84242
4546,0.14987539252946602,184.0,5.365556
4547,0.17913327677831822,201.0,9.636675
4548,0.11554813960899242,191.978037,4.134511
4549,0.15474749817733735,191.044784,6.929498
4550,0.33721089666203,209.124292,12.106265
4551,0.1697058807260088,186.849571,6.077296
4552,0.1416776513618177,213.909522,6.342683
4553,0.13193709322779015,207.961488,4.722094
4554,0.4556390839444037,235.980878,20.519758
4555,0.08075017650323575,202.627899,3.610936
4556,0.20291492663640523,202.0,9.094634
4557,0.07017709701983328,207.456008,2.509355
4558,0.12457096388330773,200.0,4.457965
4559,0.07794584495436654,185.0,3.485351
4560,0.17617165906738233,185.0,7.892033
4561,0.0690758055718257,161.0,2.469935
4562,0.31348689311868405,203.0,11.250514
4563,0.23851497691456056,214.352877,8.550234
4564,0.053924312900120494,183.015566,1.927729
4565,0.2452153686794971,195.009426,10.999299
4566,0.012450391405179955,201.602738,0.55604
4567,0.031160884063840787,166.383731,1.392144
4568,0.020226359713454215,166.0,0.903449
4569,0.15203706026053096,180.997959,6.80778
4570,0.03527600848334167,213.43192,1.260724
4571,0.0442293175000317,198.0,1.580916
4572,0.14423850005826075,185.803224,7.753363
4573,0.11533753524594224,202.281881,5.16093
