OBJECTID_1;NG;EG;2b
1380;356493.778322;326156.755834;565.5521807399346
1381;353344.511532;325212.808849;714.2557867529104
1382;355608.10341;322213.924236;615.5296343063237
1383;353172.97978099994;321851.081243;726.3702121939277
1384;353648.931404;320704.92315;705.8600530755939
1389;357430.626726;322414.682888;531.6982186177047
1390;359607.49237;323280.117759;430.7935545546934
1803;358273.286758;329760.429319;481.37379099731334
1804;356265.881982;331444.596941;573.3026138268178
1805;357526.134054;331645.404432;516.4814972658642
1806;355196.291046;331045.708092;621.7246307197493
1807;356632.653892;333674.155209;558.3997306141537
1808;355789.397339;332491.964496;597.1274122166215
1809;354928.144245;334029.567793;635.6052841889905
1810;354574.892432;335777.402596;653.695263262256
1811;354047.922853;334850.243705;675.1741730276262
1812;358122.72858700005;338159.264701;493.61417920689564
1813;357721.063571;340075.444167;511.1718854417559
1814;354403.44178;340243.927222;658.9180687853368
1815;357117.548486;335902.822277;538.894761217176
1816;358876.185376;334899.458375;458.4445140720345
1818;359098.48228699993;340177.516608;447.39936237735674
1820;357219.321143;327984.912888;530.5417195355985
1821;353526.194028;330870.487622;698.9593324823072
1822;358276.880748;332999.319266;483.667025441071
1823;359769.244324;329445.483433;413.99328461580444
1824;354826.024235;329450.095927;640.7639182494022
1825;353394.902215;329421.28458;703.9733397647506
1826;355550.40339;328186.55073;606.560268008383
1827;358232.2642910001;329955.964889;483.6283659847686
1828;358479.086903;328891.152509;472.72443549032323
1829;358178.447062;337177.918224;490.65942974272184
1831;359315.037472;326418.816208;435.99655461206567
1832;354958.425681;325521.929665;637.5043253571494
1833;358321.860166;326426.240238;482.21537430072203
1834;359045.876552;326838.361703;448.0327031293418
1835;353393.88997399993;324797.368981;712.3907446246594
1840;354855.42577;333440.466814;640.930272906553
1841;353735.351137;333552.939852;689.4603932078462
1842;359643.821259;339190.7891;424.02860502677504
1843;355859.885323;340006.709281;595.3029799367068
1844;354320.038127;339704.828658;663.7760778755182
1845;355133.801152;337015.53167;629.0117491219426
1846;355696.4338729999;338088.167611;603.3070115814917
1857;358506.036944;320429.208251;487.9606353509007
1874;357684.627146;321997.877899;521.0776575163472
1875;358873.629989;321362.15105199994;470.6736700371839
1876;359816.629342;322790.92873300007;420.76575197989587
1884;358734.266463;346214.069465;453.4470180334756
1885;357188.101686;340892.931607;535.6692010582192
1886;358092.155169;347301.830674;481.04604065802414
1887;357023.067594;343888.038837;535.598792329547
1888;356674.106142;343745.1564740001;551.6535778691759
2922;357650.201406;339574.860922;514.6991261094809
2923;358366.275883;337948.102941;482.172713035834
2932;354780.384875;339874.560839;642.3086360464804
2933;356416.729413;344206.288619;562.2342023939127
2934;355340.387234;343985.702701;611.9222408129135
2935;352288.752789;339372.491906;753.9863065839745
2936;351847.15975799994;343382.69085699995;767.9810253732139
2937;351948.207148;344317.712202;763.0767764135962
2938;352379.832774;346260.426479;744.6607046122663
2939;354076.293618;343941.804136;669.6667944377987
2948;359477.487688;345490.848261;420.37640889326576
2951;358729.60767;344979.001578;455.95899943530094
3200;355882.222204;345922.581384;583.7795060066273
3201;359679.085352;346349.674096;408.68072951131035
3202;352539.336333;347593.013322;733.9860386830987
3204;354624.787995;350134.282791;633.2844890555134
3205;358190.981907;348602.582568;472.087492953171
3206;357059.388504;350143.515695;521.9032482244074
3207;358194.15464600007;349550.655876;470.288693395094
3208;358183.920438;347896.219781;474.4618796444265
3209;357720.317795;347549.341074;497.3343530157581
3211;359370.306026;348695.173734;417.9628920543473
4502;335608.722956;327277.088984;1480.7890408632811
4503;335430.741556;330037.880751;1485.1470759779913
4504;336508.872561;328676.34085100004;1442.5470962864347
4505;337641.893433;329078.658458;1393.998660224257
4506;337246.446088;331353.287493;1405.6521595885279
4507;333618.578744;324764.601977;1560.4870946174487
4508;332494.447029;329198.204653;1609.6679780835984
4510;329917.2279049999;325905.447582;1717.3039090300445
4511;334700.724633;327743.309821;1518.5091463394929
4513;332447.056292;324364.16426;1608.86686934717
4514;338271.4144339999;330451.811214;1365.8381642397726
4515;333095.150515;326592.613806;1580.8425654906314
4516;330999.833624;328288.843995;1670.876288080006
4517;331235.490423;326897.174467;1660.7454470951343
4518;331064.54866;327556.665576;1668.0404479134595
4519;334519.332016;329440.712239;1524.217920424766
4520;331113.141163;327437.914405;1665.9894172308268
4524;333361.293637;330593.752156;1573.4256053222343
4525;335478.720292;332082.354215;1485.4651035293937
4526;332684.725733;331982.058891;1599.4506257695612
4527;331195.744298;335564.176716;1668.8601820402546
4529;332275.932969;338038.025948;1649.846058444935
4532;330361.226991;341490.398586;1713.3498128753854
4535;331517.211107;335920.730811;1655.0779597316869
4537;336058.757433;328969.711104;1460.644451192231
4538;337300.852002;333386.851905;1403.312879400095
4539;336585.769586;332122.579085;1434.284954449162
4540;335751.036631;329359.04374600004;1472.8198356534122
4541;337606.354645;334340.586156;1388.161102962913
4542;338136.557126;336985.7022589999;1356.5497485919623
