OBJECTID_1;NG;EG;delta_g0''
1380;356493.778322;326156.755834;600.2351936099585
1381;353344.511532;325212.808849;755.4632915154798
1382;355608.10341;322213.924236;654.6902531182859
1383;353172.97978099994;321851.081243;766.9457428710302
1384;353648.931404;320704.92315;745.4948456281563
1389;357430.626726;322414.682888;569.3647241843864
1390;359607.49237;323280.117759;467.34501309052575
1803;358273.286758;329760.429319;515.9898871274199
1804;356265.881982;331444.596941;608.222460526973
1805;357526.134054;331645.404432;551.8996652346104
1806;355196.291046;331045.708092;657.572388777975
1807;356632.653892;333674.155209;593.5802904886659
1808;355789.397339;332491.964496;634.13326883642
1809;354928.144245;334029.567793;671.2907296813792
1810;354574.892432;335777.402596;689.8209929052973
1811;354047.922853;334850.243705;710.2931673745625
1812;358122.72858700005;338159.264701;526.0524956439622
1813;357721.063571;340075.444167;542.6709073679522
1814;354403.44178;340243.927222;690.2323167843278
1815;357117.548486;335902.822277;573.4724012267543
1816;358876.185376;334899.458375;494.2828208160354
1818;359098.48228699993;340177.516608;477.47422072221525
1820;357219.321143;327984.912888;564.7792841668706
1821;353526.194028;330870.487622;736.7985218752874
1822;358276.880748;332999.319266;519.8151593094226
1823;359769.244324;329445.483433;449.5920441992348
1824;354826.024235;329450.095927;678.900325613562
1825;353394.902215;329421.28458;740.3440832581837
1826;355550.40339;328186.55073;641.7828119538026
1827;358232.2642910001;329955.964889;518.6364427957451
1828;358479.086903;328891.152509;507.882477827603
1829;358178.447062;337177.918224;523.5440352343721
1831;359315.037472;326418.816208;469.7748244035756
1832;354958.425681;325521.929665;674.7228087102994
1833;358321.860166;326426.240238;516.9234636115143
1834;359045.876552;326838.361703;482.04332249518484
1835;353393.88997399993;324797.368981;753.3215343649499
1840;354855.42577;333440.466814;679.0671039707959
1841;353735.351137;333552.939852;726.1324721507262
1842;359643.821259;339190.7891;455.29597207321785
1843;355859.885323;340006.709281;627.7546914828708
1844;354320.038127;339704.828658;696.2332854530541
1845;355133.801152;337015.53167;664.0328754738439
1846;355696.4338729999;338088.167611;637.126270083827
1857;358506.036944;320429.208251;527.170939462143
1874;357684.627146;321997.877899;558.9190143449232
1875;358873.629989;321362.15105199994;510.25340030912776
1876;359816.629342;322790.92873300007;456.2248431564076
1884;358734.266463;346214.069465;482.61781215295196
1885;357188.101686;340892.931607;568.1351068979129
1886;358092.155169;347301.830674;510.8320968418848
1887;357023.067594;343888.038837;564.7551219071029
1888;356674.106142;343745.1564740001;580.8185973548098
2922;357650.201406;339574.860922;546.1708736037835
2923;358366.275883;337948.102941;514.2429462150903
2932;354780.384875;339874.560839;673.6420054212213
2933;356416.729413;344206.288619;591.5593487133738
2934;355340.387234;343985.702701;641.9006922541885
2935;352288.752789;339372.491906;788.9505569743924
2936;351847.15975799994;343382.69085699995;799.1762829017825
2937;351948.207148;344317.712202;794.8449462210992
2938;352379.832774;346260.426479;779.8983341926942
2939;354076.293618;343941.804136;701.4992025977699
2948;359477.487688;345490.848261;449.00644145405386
2951;358729.60767;344979.001578;484.81849727383815
3200;355882.222204;345922.581384;613.7580725089647
3201;359679.085352;346349.674096;436.6903119967319
3202;352539.336333;347593.013322;767.6472459610086
3204;354624.787995;350134.282791;664.0487581614871
3205;358190.981907;348602.582568;500.53385808551684
3206;357059.388504;350143.515695;551.62550799991
3207;358194.15464600007;349550.655876;498.95461694989353
3208;358183.920438;347896.219781;503.3440717795165
3209;357720.317795;347549.341074;527.1441830155673
3211;359370.306026;348695.173734;446.3688919438282
4502;335608.722956;327277.088984;1529.4898431563051
4503;335430.741556;330037.880751;1532.2174582100706
4504;336508.872561;328676.34085100004;1490.2165501669515
4505;337641.893433;329078.658458;1440.2898587171221
4506;337246.446088;331353.287493;1448.9611108540557
4507;333618.578744;324764.601977;1609.9786151202861
4508;332494.447029;329198.204653;1662.0105419515166
4510;329917.2279049999;325905.447582;1771.9700490419054
4511;334700.724633;327743.309821;1568.7129869390046
4513;332447.056292;324364.16426;1659.8080289581558
